Hex	Rank	Emoji	Year	Category	Subcategory	Name
\x{1F602}	1	😂	2014	Smileys & Emotion	face-smiling	face with tears of joy
\x{2764 FE0F}	2	❤️	1995	Smileys & Emotion	emotion	red heart
\x{1F60D}	3	😍	2014	Smileys & Emotion	face-affection	smiling face with heart-eyes
\x{1F923}	4	🤣	2016	Smileys & Emotion	face-smiling	rolling on the floor laughing
\x{1F60A}	5	😊	2014	Smileys & Emotion	face-smiling	smiling face with smiling eyes
\x{1F64F}	6	🙏	2014	People & Body	hands	folded hands
\x{1F495}	7	💕	2014	Smileys & Emotion	emotion	two hearts
\x{1F62D}	8	😭	2014	Smileys & Emotion	face-concerned	loudly crying face
\x{1F618}	9	😘	2014	Smileys & Emotion	face-affection	face blowing a kiss
\x{1F44D}	10	👍	2014	People & Body	hand-fingers-closed	thumbs up
\x{1F605}	11	😅	2014	Smileys & Emotion	face-smiling	grinning face with sweat
\x{1F44F}	12	👏	2014	People & Body	hands	clapping hands
\x{1F601}	13	😁	2014	Smileys & Emotion	face-smiling	beaming face with smiling eyes
\x{2665 FE0F}	14	♥️	1995	Activities	game	heart suit
\x{1F525}	15	🔥	2015	Travel & Places	sky & weather	fire
\x{1F970}	16	🥰	2018	Smileys & Emotion	face-affection	smiling face with hearts
\x{1F494}	17	💔	2014	Smileys & Emotion	emotion	broken heart
\x{1F496}	18	💖	2014	Smileys & Emotion	emotion	sparkling heart
\x{1F499}	19	💙	2014	Smileys & Emotion	emotion	blue heart
\x{1F622}	20	😢	2014	Smileys & Emotion	face-concerned	crying face
\x{1F914}	21	🤔	2015	Smileys & Emotion	face-hand	thinking face
\x{1F606}	22	😆	2014	Smileys & Emotion	face-smiling	grinning squinting face
\x{1F644}	23	🙄	2014	Smileys & Emotion	face-neutral-skeptical	face with rolling eyes
\x{1F4AA}	24	💪	2014	People & Body	body-parts	flexed biceps
\x{1F609}	25	😉	2014	Smileys & Emotion	face-smiling	winking face
\x{263A FE0F}	26	☺️	1995	Smileys & Emotion	face-affection	smiling face
\x{1F44C}	27	👌	2014	People & Body	hand-fingers-partial	OK hand
\x{1F917}	28	🤗	2015	Smileys & Emotion	face-hand	hugging face
\x{1F49C}	29	💜	2014	Smileys & Emotion	emotion	purple heart
\x{1F614}	30	😔	2014	Smileys & Emotion	face-sleepy	pensive face
\x{1F60E}	31	😎	2014	Smileys & Emotion	face-glasses	smiling face with sunglasses
\x{1F607}	32	😇	2014	Smileys & Emotion	face-smiling	smiling face with halo
